,aoi,Tamb,Wind,POA,i_mp,v_mp,p_mp,Power,anomaly
2021-01-23 00:00:00-07:00,,1.6,3.1,,,,,,False
2021-01-23 00:01:00-07:00,,1.6,3.2,,,,,,False
2021-01-23 00:02:00-07:00,,1.5,3.0,,,,,,False
2021-01-23 00:03:00-07:00,,1.6,2.6,,,,,,False
2021-01-23 00:04:00-07:00,,1.6,2.4,,,,,,False
2021-01-23 00:05:00-07:00,,1.6,2.4,,,,,,False
2021-01-23 00:06:00-07:00,,1.6,2.7,,,,,,False
2021-01-23 00:07:00-07:00,,1.6,3.1,,,,,,False
2021-01-23 00:08:00-07:00,,1.5,3.6,,,,,,False
2021-01-23 00:09:00-07:00,,1.1,3.1,,,,,,False
2021-01-23 00:10:00-07:00,,1.1,2.2,,,,,,False
2021-01-23 00:11:00-07:00,,1.3,2.0,,,,,,False
2021-01-23 00:12:00-07:00,,1.4,2.2,,,,,,False
2021-01-23 00:13:00-07:00,,1.4,3.0,,,,,,False
2021-01-23 00:14:00-07:00,,1.3,3.6,,,,,,False
2021-01-23 00:15:00-07:00,,1.0,4.1,,,,,,False
2021-01-23 00:16:00-07:00,,0.8,3.6,,,,,,False
2021-01-23 00:17:00-07:00,,0.8,3.3,,,,,,False
2021-01-23 00:18:00-07:00,,0.8,3.2,,,,,,False
2021-01-23 00:19:00-07:00,,0.8,3.1,,,,,,False
2021-01-23 00:20:00-07:00,,0.7,3.1,,,,,,False
2021-01-23 00:21:00-07:00,,0.6,2.9,,,,,,False
2021-01-23 00:22:00-07:00,,0.5,2.7,,,,,,False
2021-01-23 00:23:00-07:00,,0.5,2.2,,,,,,False
2021-01-23 00:24:00-07:00,,0.6,1.9,,,,,,False
2021-01-23 00:25:00-07:00,,0.6,1.9,,,,,,False
2021-01-23 00:26:00-07:00,,0.6,2.0,,,,,,False
2021-01-23 00:27:00-07:00,,0.5,2.3,,,,,,False
2021-01-23 00:28:00-07:00,,0.4,2.4,,,,,,False
2021-01-23 00:29:00-07:00,,0.4,2.5,,,,,,False
2021-01-23 00:30:00-07:00,,0.4,2.4,,,,,,False
2021-01-23 00:31:00-07:00,,0.4,2.5,,,,,,False
2021-01-23 00:32:00-07:00,,0.3,2.8,,,,,,False
2021-01-23 00:33:00-07:00,,0.1,2.8,,,,,,False
2021-01-23 00:34:00-07:00,,0.0,2.2,,,,,,False
2021-01-23 00:35:00-07:00,,0.2,2.0,,,,,,False
2021-01-23 00:36:00-07:00,,0.3,1.9,,,,,,False
2021-01-23 00:37:00-07:00,,0.4,1.6,,,,,,False
2021-01-23 00:38:00-07:00,,0.5,1.4,,,,,,False
2021-01-23 00:39:00-07:00,,0.6,1.4,,,,,,False
2021-01-23 00:40:00-07:00,,0.6,1.5,,,,,,False
2021-01-23 00:41:00-07:00,,0.6,1.7,,,,,,False
2021-01-23 00:42:00-07:00,,0.5,1.6,,,,,,False
2021-01-23 00:43:00-07:00,,0.5,1.6,,,,,,False
2021-01-23 00:44:00-07:00,,0.6,1.5,,,,,,False
2021-01-23 00:45:00-07:00,,0.6,1.5,,,,,,False
2021-01-23 00:46:00-07:00,,0.6,1.7,,,,,,False
2021-01-23 00:47:00-07:00,,0.5,1.7,,,,,,False
2021-01-23 00:48:00-07:00,,0.5,1.4,,,,,,False
2021-01-23 00:49:00-07:00,,0.6,1.5,,,,,,False
2021-01-23 00:50:00-07:00,,0.6,1.5,,,,,,False
2021-01-23 00:51:00-07:00,,0.7,1.4,,,,,,False
2021-01-23 00:52:00-07:00,,0.7,1.5,,,,,,False
2021-01-23 00:53:00-07:00,,0.8,1.5,,,,,,False
2021-01-23 00:54:00-07:00,,0.8,1.8,,,,,,False
2021-01-23 00:55:00-07:00,,0.8,1.9,,,,,,False
2021-01-23 00:56:00-07:00,,0.9,1.8,,,,,,False
2021-01-23 00:57:00-07:00,,0.9,1.8,,,,,,False
2021-01-23 00:58:00-07:00,,0.9,1.7,,,,,,False
2021-01-23 00:59:00-07:00,,1.0,1.3,,,,,,False
2021-01-23 01:00:00-07:00,,1.0,1.2,,,,,,False
2021-01-23 01:01:00-07:00,,1.1,1.1,,,,,,False
2021-01-23 01:02:00-07:00,,1.1,1.0,,,,,,False
2021-01-23 01:03:00-07:00,,1.2,0.8,,,,,,False
2021-01-23 01:04:00-07:00,,1.2,1.0,,,,,,False
2021-01-23 01:05:00-07:00,,1.2,1.2,,,,,,False
2021-01-23 01:06:00-07:00,,1.2,1.5,,,,,,False
2021-01-23 01:07:00-07:00,,1.1,2.2,,,,,,False
2021-01-23 01:08:00-07:00,,1.0,2.3,,,,,,False
2021-01-23 01:09:00-07:00,,1.0,2.0,,,,,,False
2021-01-23 01:10:00-07:00,,1.1,1.8,,,,,,False
2021-01-23 01:11:00-07:00,,1.2,2.0,,,,,,False
2021-01-23 01:12:00-07:00,,1.2,2.6,,,,,,False
2021-01-23 01:13:00-07:00,,1.1,2.2,,,,,,False
2021-01-23 01:14:00-07:00,,1.2,1.9,,,,,,False
2021-01-23 01:15:00-07:00,,1.3,1.7,,,,,,False
2021-01-23 01:16:00-07:00,,1.3,1.7,,,,,,False
2021-01-23 01:17:00-07:00,,1.4,1.8,,,,,,False
2021-01-23 01:18:00-07:00,,1.4,1.6,,,,,,False
2021-01-23 01:19:00-07:00,,1.4,1.3,,,,,,False
2021-01-23 01:20:00-07:00,,1.5,1.3,,,,,,False
2021-01-23 01:21:00-07:00,,1.5,1.4,,,,,,False
