,aoi,Tamb,Wind,POA,i_mp,v_mp,p_mp,Power,anomaly
2021-03-26 00:00:00-07:00,,5.4,1.4,,,,,,False
2021-03-26 00:01:00-07:00,,5.3,2.3,,,,,,False
2021-03-26 00:02:00-07:00,,5.0,3.0,,,,,,False
2021-03-26 00:03:00-07:00,,5.2,2.0,,,,,,False
2021-03-26 00:04:00-07:00,,5.4,1.2,,,,,,False
2021-03-26 00:05:00-07:00,,5.4,0.6,,,,,,False
2021-03-26 00:06:00-07:00,,5.5,1.7,,,,,,False
2021-03-26 00:07:00-07:00,,5.8,3.0,,,,,,False
2021-03-26 00:08:00-07:00,,6.1,2.9,,,,,,False
2021-03-26 00:09:00-07:00,,6.2,2.1,,,,,,False
2021-03-26 00:10:00-07:00,,6.2,1.6,,,,,,False
2021-03-26 00:11:00-07:00,,6.1,1.7,,,,,,False
2021-03-26 00:12:00-07:00,,5.4,2.3,,,,,,False
2021-03-26 00:13:00-07:00,,5.2,2.3,,,,,,False
2021-03-26 00:14:00-07:00,,5.1,1.8,,,,,,False
2021-03-26 00:15:00-07:00,,5.1,1.1,,,,,,False
2021-03-26 00:16:00-07:00,,5.1,2.3,,,,,,False
2021-03-26 00:17:00-07:00,,4.9,3.4,,,,,,False
2021-03-26 00:18:00-07:00,,4.6,3.6,,,,,,False
2021-03-26 00:19:00-07:00,,4.9,3.2,,,,,,False
2021-03-26 00:20:00-07:00,,5.2,4.3,,,,,,False
2021-03-26 00:21:00-07:00,,5.2,5.2,,,,,,False
2021-03-26 00:22:00-07:00,,5.3,3.9,,,,,,False
2021-03-26 00:23:00-07:00,,4.7,3.5,,,,,,False
2021-03-26 00:24:00-07:00,,4.4,2.7,,,,,,False
2021-03-26 00:25:00-07:00,,4.5,1.1,,,,,,False
2021-03-26 00:26:00-07:00,,4.7,1.0,,,,,,False
2021-03-26 00:27:00-07:00,,4.7,1.7,,,,,,False
2021-03-26 00:28:00-07:00,,4.4,2.6,,,,,,False
2021-03-26 00:29:00-07:00,,4.4,3.5,,,,,,False
2021-03-26 00:30:00-07:00,,4.6,2.5,,,,,,False
2021-03-26 00:31:00-07:00,,4.8,0.9,,,,,,False
2021-03-26 00:32:00-07:00,,5.0,0.8,,,,,,False
2021-03-26 00:33:00-07:00,,5.1,0.9,,,,,,False
2021-03-26 00:34:00-07:00,,5.1,1.8,,,,,,False
2021-03-26 00:35:00-07:00,,5.2,2.1,,,,,,False
2021-03-26 00:36:00-07:00,,5.2,1.5,,,,,,False
2021-03-26 00:37:00-07:00,,5.3,1.2,,,,,,False
2021-03-26 00:38:00-07:00,,5.3,1.6,,,,,,False
2021-03-26 00:39:00-07:00,,5.3,1.6,,,,,,False
2021-03-26 00:40:00-07:00,,5.3,1.3,,,,,,False
2021-03-26 00:41:00-07:00,,5.3,0.5,,,,,,False
2021-03-26 00:42:00-07:00,,5.0,2.6,,,,,,False
2021-03-26 00:43:00-07:00,,4.9,2.0,,,,,,False
2021-03-26 00:44:00-07:00,,5.0,1.9,,,,,,False
2021-03-26 00:45:00-07:00,,5.1,2.2,,,,,,False
2021-03-26 00:46:00-07:00,,5.3,2.7,,,,,,False
2021-03-26 00:47:00-07:00,,5.7,2.6,,,,,,False
2021-03-26 00:48:00-07:00,,6.2,2.1,,,,,,False
2021-03-26 00:49:00-07:00,,6.7,2.3,,,,,,False
2021-03-26 00:50:00-07:00,,6.9,1.7,,,,,,False
2021-03-26 00:51:00-07:00,,6.9,0.9,,,,,,False
2021-03-26 00:52:00-07:00,,6.4,0.9,,,,,,False
2021-03-26 00:53:00-07:00,,5.8,1.0,,,,,,False
2021-03-26 00:54:00-07:00,,5.5,1.3,,,,,,False
2021-03-26 00:55:00-07:00,,5.2,0.9,,,,,,False
2021-03-26 00:56:00-07:00,,5.0,0.7,,,,,,False
2021-03-26 00:57:00-07:00,,4.9,1.0,,,,,,False
2021-03-26 00:58:00-07:00,,4.9,1.3,,,,,,False
2021-03-26 00:59:00-07:00,,4.9,1.5,,,,,,False
2021-03-26 01:00:00-07:00,,4.9,1.0,,,,,,False
2021-03-26 01:01:00-07:00,,4.8,0.7,,,,,,False
2021-03-26 01:02:00-07:00,,4.7,1.4,,,,,,False
