,aoi,Tamb,Wind,POA,i_mp,v_mp,p_mp,Power,anomaly
2021-11-04 00:00:00-07:00,,9.0,2.3,,,,,,False
2021-11-04 00:01:00-07:00,,9.2,2.3,,,,,,False
2021-11-04 00:02:00-07:00,,9.2,2.2,,,,,,False
2021-11-04 00:03:00-07:00,,9.3,2.1,,,,,,False
2021-11-04 00:04:00-07:00,,9.4,2.0,,,,,,False
2021-11-04 00:05:00-07:00,,9.5,1.9,,,,,,False
2021-11-04 00:06:00-07:00,,9.6,1.7,,,,,,False
2021-11-04 00:07:00-07:00,,9.7,1.6,,,,,,False
2021-11-04 00:08:00-07:00,,9.7,2.1,,,,,,False
2021-11-04 00:09:00-07:00,,9.5,2.2,,,,,,False
2021-11-04 00:10:00-07:00,,9.5,2.2,,,,,,False
2021-11-04 00:11:00-07:00,,9.6,2.1,,,,,,False
2021-11-04 00:12:00-07:00,,9.6,2.3,,,,,,False
2021-11-04 00:13:00-07:00,,9.6,2.1,,,,,,False
2021-11-04 00:14:00-07:00,,9.6,1.7,,,,,,False
2021-11-04 00:15:00-07:00,,9.7,1.2,,,,,,False
2021-11-04 00:16:00-07:00,,9.8,0.9,,,,,,False
2021-11-04 00:17:00-07:00,,9.8,1.1,,,,,,False
2021-11-04 00:18:00-07:00,,9.6,2.5,,,,,,False
2021-11-04 00:19:00-07:00,,9.2,2.6,,,,,,False
2021-11-04 00:20:00-07:00,,9.2,2.4,,,,,,False
2021-11-04 00:21:00-07:00,,9.3,2.1,,,,,,False
2021-11-04 00:22:00-07:00,,9.5,2.0,,,,,,False
2021-11-04 00:23:00-07:00,,9.6,2.1,,,,,,False
2021-11-04 00:24:00-07:00,,9.5,2.6,,,,,,False
2021-11-04 00:25:00-07:00,,9.3,2.7,,,,,,False
2021-11-04 00:26:00-07:00,,9.2,2.4,,,,,,False
2021-11-04 00:27:00-07:00,,9.3,1.9,,,,,,False
2021-11-04 00:28:00-07:00,,9.3,1.9,,,,,,False
2021-11-04 00:29:00-07:00,,9.4,2.0,,,,,,False
2021-11-04 00:30:00-07:00,,9.5,1.9,,,,,,False
2021-11-04 00:31:00-07:00,,9.6,1.9,,,,,,False
2021-11-04 00:32:00-07:00,,9.7,1.9,,,,,,False
2021-11-04 00:33:00-07:00,,9.8,2.0,,,,,,False
2021-11-04 00:34:00-07:00,,9.7,2.2,,,,,,False
2021-11-04 00:35:00-07:00,,9.6,2.1,,,,,,False
2021-11-04 00:36:00-07:00,,9.6,1.9,,,,,,False
2021-11-04 00:37:00-07:00,,9.7,1.6,,,,,,False
2021-11-04 00:38:00-07:00,,9.8,1.6,,,,,,False
2021-11-04 00:39:00-07:00,,9.9,1.7,,,,,,False
2021-11-04 00:40:00-07:00,,10.0,1.6,,,,,,False
2021-11-04 00:41:00-07:00,,10.1,1.5,,,,,,False
2021-11-04 00:42:00-07:00,,10.0,1.5,,,,,,False
2021-11-04 00:43:00-07:00,,9.9,1.3,,,,,,False
2021-11-04 00:44:00-07:00,,9.8,1.5,,,,,,False
2021-11-04 00:45:00-07:00,,9.6,1.3,,,,,,False
2021-11-04 00:46:00-07:00,,9.5,1.6,,,,,,False
2021-11-04 00:47:00-07:00,,9.1,2.7,,,,,,False
2021-11-04 00:48:00-07:00,,8.7,2.6,,,,,,False
2021-11-04 00:49:00-07:00,,8.6,2.8,,,,,,False
2021-11-04 00:50:00-07:00,,8.7,3.0,,,,,,False
2021-11-04 00:51:00-07:00,,8.7,3.1,,,,,,False
2021-11-04 00:52:00-07:00,,8.8,2.9,,,,,,False
2021-11-04 00:53:00-07:00,,8.9,2.2,,,,,,False
2021-11-04 00:54:00-07:00,,9.0,1.7,,,,,,False
2021-11-04 00:55:00-07:00,,9.1,1.1,,,,,,False
2021-11-04 00:56:00-07:00,,9.2,0.9,,,,,,False
2021-11-04 00:57:00-07:00,,9.3,0.9,,,,,,False
2021-11-04 00:58:00-07:00,,9.3,1.3,,,,,,False
2021-11-04 00:59:00-07:00,,9.3,1.7,,,,,,False
2021-11-04 01:00:00-07:00,,9.2,1.6,,,,,,False
2021-11-04 01:01:00-07:00,,9.3,1.6,,,,,,False
2021-11-04 01:02:00-07:00,,9.3,2.1,,,,,,False
2021-11-04 01:03:00-07:00,,9.0,2.8,,,,,,False
2021-11-04 01:04:00-07:00,,8.6,2.7,,,,,,False
2021-11-04 01:05:00-07:00,,8.7,1.7,,,,,,False
2021-11-04 01:06:00-07:00,,8.8,0.9,,,,,,False
2021-11-04 01:07:00-07:00,,8.9,0.8,,,,,,False
2021-11-04 01:08:00-07:00,,9.0,1.0,,,,,,False
2021-11-04 01:09:00-07:00,,9.0,1.2,,,,,,False
2021-11-04 01:10:00-07:00,,9.1,1.1,,,,,,False
2021-11-04 01:11:00-07:00,,9.2,0.8,,,,,,False
2021-11-04 01:12:00-07:00,,9.2,0.6,,,,,,False
2021-11-04 01:13:00-07:00,,9.2,0.7,,,,,,False
2021-11-04 01:14:00-07:00,,9.2,0.5,,,,,,False
2021-11-04 01:15:00-07:00,,9.2,0.3,,,,,,False
2021-11-04 01:16:00-07:00,,9.2,0.2,,,,,,False
2021-11-04 01:17:00-07:00,,9.2,0.4,,,,,,False
2021-11-04 01:18:00-07:00,,9.1,0.7,,,,,,False
2021-11-04 01:19:00-07:00,,9.1,1.1,,,,,,False
2021-11-04 01:20:00-07:00,,9.1,1.6,,,,,,False
2021-11-04 01:21:00-07:00,,9.1,2.6,,,,,,False
2021-11-04 01:22:00-07:00,,8.9,3.3,,,,,,False
2021-11-04 01:23:00-07:00,,8.7,2.3,,,,,,False
2021-11-04 01:24:00-07:00,,8.9,0.9,,,,,,False
2021-11-04 01:25:00-07:00,,9.0,0.3,,,,,,False
2021-11-04 01:26:00-07:00,,9.0,0.4,,,,,,False
2021-11-04 01:27:00-07:00,,9.1,1.7,,,,,,False
2021-11-04 01:28:00-07:00,,9.0,3.0,,,,,,False
2021-11-04 01:29:00-07:00,,9.2,3.1,,,,,,False
2021-11-04 01:30:00-07:00,,9.5,2.1,,,,,,False
2021-11-04 01:31:00-07:00,,9.5,1.8,,,,,,False
2021-11-04 01:32:00-07:00,,9.6,0.8,,,,,,False
2021-11-04 01:33:00-07:00,,9.7,0.6,,,,,,False
2021-11-04 01:34:00-07:00,,9.8,1.1,,,,,,False
2021-11-04 01:35:00-07:00,,9.4,1.9,,,,,,False
2021-11-04 01:36:00-07:00,,9.1,1.9,,,,,,False
2021-11-04 01:37:00-07:00,,9.0,1.8,,,,,,False
2021-11-04 01:38:00-07:00,,9.0,1.9,,,,,,False
2021-11-04 01:39:00-07:00,,8.9,2.1,,,,,,False
2021-11-04 01:40:00-07:00,,9.0,2.0,,,,,,False
2021-11-04 01:41:00-07:00,,9.1,1.8,,,,,,False
2021-11-04 01:42:00-07:00,,9.3,1.5,,,,,,False
2021-11-04 01:43:00-07:00,,9.5,1.2,,,,,,False
2021-11-04 01:44:00-07:00,,9.6,1.0,,,,,,False
2021-11-04 01:45:00-07:00,,9.6,1.1,,,,,,False
2021-11-04 01:46:00-07:00,,9.5,1.1,,,,,,False
2021-11-04 01:47:00-07:00,,9.5,1.2,,,,,,False
2021-11-04 01:48:00-07:00,,9.5,1.2,,,,,,False
2021-11-04 01:49:00-07:00,,9.5,1.6,,,,,,False
2021-11-04 01:50:00-07:00,,9.2,2.1,,,,,,False
2021-11-04 01:51:00-07:00,,9.1,1.9,,,,,,False
2021-11-04 01:52:00-07:00,,9.1,1.9,,,,,,False
2021-11-04 01:53:00-07:00,,9.1,2.2,,,,,,False
2021-11-04 01:54:00-07:00,,9.0,2.8,,,,,,False
