,aoi,Tamb,Wind,POA,i_mp,v_mp,p_mp,Power,anomaly
2021-10-02 00:00:00-07:00,,4.9,1.5,,,,,,False
2021-10-02 00:01:00-07:00,,4.9,1.2,,,,,,False
2021-10-02 00:02:00-07:00,,5.0,1.1,,,,,,False
2021-10-02 00:03:00-07:00,,5.0,1.1,,,,,,False
2021-10-02 00:04:00-07:00,,5.0,1.2,,,,,,False
2021-10-02 00:05:00-07:00,,5.0,1.2,,,,,,False
2021-10-02 00:06:00-07:00,,5.0,1.3,,,,,,False
2021-10-02 00:07:00-07:00,,5.0,1.4,,,,,,False
2021-10-02 00:08:00-07:00,,5.0,1.7,,,,,,False
2021-10-02 00:09:00-07:00,,5.0,1.9,,,,,,False
2021-10-02 00:10:00-07:00,,4.9,1.8,,,,,,False
2021-10-02 00:11:00-07:00,,4.8,2.3,,,,,,False
2021-10-02 00:12:00-07:00,,4.8,2.3,,,,,,False
2021-10-02 00:13:00-07:00,,4.8,2.4,,,,,,False
2021-10-02 00:14:00-07:00,,4.8,2.3,,,,,,False
2021-10-02 00:15:00-07:00,,4.8,2.2,,,,,,False
2021-10-02 00:16:00-07:00,,4.8,2.2,,,,,,False
2021-10-02 00:17:00-07:00,,4.8,2.2,,,,,,False
2021-10-02 00:18:00-07:00,,4.8,1.9,,,,,,False
2021-10-02 00:19:00-07:00,,4.8,1.7,,,,,,False
2021-10-02 00:20:00-07:00,,4.8,1.8,,,,,,False
2021-10-02 00:21:00-07:00,,4.8,1.8,,,,,,False
2021-10-02 00:22:00-07:00,,4.8,1.8,,,,,,False
2021-10-02 00:23:00-07:00,,4.8,2.1,,,,,,False
2021-10-02 00:24:00-07:00,,4.8,1.6,,,,,,False
2021-10-02 00:25:00-07:00,,4.8,2.2,,,,,,False
2021-10-02 00:26:00-07:00,,4.7,2.3,,,,,,False
2021-10-02 00:27:00-07:00,,4.8,2.0,,,,,,False
2021-10-02 00:28:00-07:00,,4.8,2.1,,,,,,False
2021-10-02 00:29:00-07:00,,4.7,2.0,,,,,,False
2021-10-02 00:30:00-07:00,,4.8,1.8,,,,,,False
2021-10-02 00:31:00-07:00,,4.8,1.6,,,,,,False
2021-10-02 00:32:00-07:00,,4.8,1.8,,,,,,False
2021-10-02 00:33:00-07:00,,4.8,1.8,,,,,,False
2021-10-02 00:34:00-07:00,,4.8,2.0,,,,,,False
2021-10-02 00:35:00-07:00,,4.9,2.2,,,,,,False
2021-10-02 00:36:00-07:00,,4.8,2.2,,,,,,False
2021-10-02 00:37:00-07:00,,4.8,2.2,,,,,,False
2021-10-02 00:38:00-07:00,,4.7,2.4,,,,,,False
2021-10-02 00:39:00-07:00,,4.7,2.4,,,,,,False
2021-10-02 00:40:00-07:00,,4.7,2.1,,,,,,False
2021-10-02 00:41:00-07:00,,4.7,2.1,,,,,,False
2021-10-02 00:42:00-07:00,,4.7,2.1,,,,,,False
2021-10-02 00:43:00-07:00,,4.7,2.3,,,,,,False
2021-10-02 00:44:00-07:00,,4.7,2.1,,,,,,False
2021-10-02 00:45:00-07:00,,4.8,1.6,,,,,,False
2021-10-02 00:46:00-07:00,,4.8,1.7,,,,,,False
2021-10-02 00:47:00-07:00,,4.8,1.9,,,,,,False
2021-10-02 00:48:00-07:00,,4.8,1.6,,,,,,False
2021-10-02 00:49:00-07:00,,4.8,1.5,,,,,,False
2021-10-02 00:50:00-07:00,,4.9,2.0,,,,,,False
2021-10-02 00:51:00-07:00,,4.8,2.0,,,,,,False
2021-10-02 00:52:00-07:00,,4.8,2.1,,,,,,False
2021-10-02 00:53:00-07:00,,4.8,1.9,,,,,,False
2021-10-02 00:54:00-07:00,,4.8,1.5,,,,,,False
2021-10-02 00:55:00-07:00,,4.9,1.9,,,,,,False
2021-10-02 00:56:00-07:00,,4.8,1.8,,,,,,False
2021-10-02 00:57:00-07:00,,4.8,2.2,,,,,,False
2021-10-02 00:58:00-07:00,,4.8,2.5,,,,,,False
2021-10-02 00:59:00-07:00,,4.8,2.3,,,,,,False
2021-10-02 01:00:00-07:00,,4.8,1.7,,,,,,False
2021-10-02 01:01:00-07:00,,4.8,1.8,,,,,,False
2021-10-02 01:02:00-07:00,,4.8,1.8,,,,,,False
2021-10-02 01:03:00-07:00,,4.7,1.8,,,,,,False
2021-10-02 01:04:00-07:00,,4.7,1.9,,,,,,False
2021-10-02 01:05:00-07:00,,4.7,2.0,,,,,,False
2021-10-02 01:06:00-07:00,,4.8,2.0,,,,,,False
2021-10-02 01:07:00-07:00,,4.8,2.0,,,,,,False
2021-10-02 01:08:00-07:00,,4.8,1.7,,,,,,False
2021-10-02 01:09:00-07:00,,4.7,1.9,,,,,,False
2021-10-02 01:10:00-07:00,,4.7,2.3,,,,,,False
2021-10-02 01:11:00-07:00,,4.6,2.5,,,,,,False
2021-10-02 01:12:00-07:00,,4.6,2.0,,,,,,False
2021-10-02 01:13:00-07:00,,4.6,2.6,,,,,,False
2021-10-02 01:14:00-07:00,,4.6,2.5,,,,,,False
2021-10-02 01:15:00-07:00,,4.5,2.3,,,,,,False
2021-10-02 01:16:00-07:00,,4.5,2.5,,,,,,False
2021-10-02 01:17:00-07:00,,4.5,2.2,,,,,,False
2021-10-02 01:18:00-07:00,,4.6,2.4,,,,,,False
2021-10-02 01:19:00-07:00,,4.6,2.4,,,,,,False
2021-10-02 01:20:00-07:00,,4.6,2.4,,,,,,False
2021-10-02 01:21:00-07:00,,4.5,2.7,,,,,,False
2021-10-02 01:22:00-07:00,,4.5,2.6,,,,,,False
2021-10-02 01:23:00-07:00,,4.5,2.2,,,,,,False
2021-10-02 01:24:00-07:00,,4.5,1.9,,,,,,False
2021-10-02 01:25:00-07:00,,4.5,1.9,,,,,,False
2021-10-02 01:26:00-07:00,,4.5,1.8,,,,,,False
2021-10-02 01:27:00-07:00,,4.5,1.9,,,,,,False
2021-10-02 01:28:00-07:00,,4.6,2.3,,,,,,False
2021-10-02 01:29:00-07:00,,4.5,2.5,,,,,,False
2021-10-02 01:30:00-07:00,,4.5,2.3,,,,,,False
2021-10-02 01:31:00-07:00,,4.5,2.0,,,,,,False
2021-10-02 01:32:00-07:00,,4.5,1.6,,,,,,False
2021-10-02 01:33:00-07:00,,4.5,1.9,,,,,,False
2021-10-02 01:34:00-07:00,,4.5,2.1,,,,,,False
2021-10-02 01:35:00-07:00,,4.5,2.1,,,,,,False
2021-10-02 01:36:00-07:00,,4.5,2.1,,,,,,False
2021-10-02 01:37:00-07:00,,4.5,1.7,,,,,,False
2021-10-02 01:38:00-07:00,,4.5,1.7,,,,,,False
2021-10-02 01:39:00-07:00,,4.6,1.8,,,,,,False
2021-10-02 01:40:00-07:00,,4.5,1.7,,,,,,False
2021-10-02 01:41:00-07:00,,4.5,1.8,,,,,,False
2021-10-02 01:42:00-07:00,,4.6,1.9,,,,,,False
2021-10-02 01:43:00-07:00,,4.5,2.0,,,,,,False
2021-10-02 01:44:00-07:00,,4.5,2.2,,,,,,False
2021-10-02 01:45:00-07:00,,4.5,2.1,,,,,,False
2021-10-02 01:46:00-07:00,,4.5,1.5,,,,,,False
2021-10-02 01:47:00-07:00,,4.5,1.7,,,,,,False
2021-10-02 01:48:00-07:00,,4.6,1.8,,,,,,False
2021-10-02 01:49:00-07:00,,4.6,1.9,,,,,,False
2021-10-02 01:50:00-07:00,,4.6,2.3,,,,,,False
2021-10-02 01:51:00-07:00,,4.6,2.2,,,,,,False
2021-10-02 01:52:00-07:00,,4.6,1.9,,,,,,False
2021-10-02 01:53:00-07:00,,4.6,2.1,,,,,,False
2021-10-02 01:54:00-07:00,,4.6,2.2,,,,,,False
2021-10-02 01:55:00-07:00,,4.5,2.2,,,,,,False
2021-10-02 01:56:00-07:00,,4.5,2.5,,,,,,False
2021-10-02 01:57:00-07:00,,4.4,2.3,,,,,,False
2021-10-02 01:58:00-07:00,,4.4,2.1,,,,,,False
2021-10-02 01:59:00-07:00,,4.4,1.8,,,,,,False
2021-10-02 02:00:00-07:00,,4.4,2.2,,,,,,False
2021-10-02 02:01:00-07:00,,4.4,1.8,,,,,,False
2021-10-02 02:02:00-07:00,,4.4,1.9,,,,,,False
2021-10-02 02:03:00-07:00,,4.4,2.0,,,,,,False
2021-10-02 02:04:00-07:00,,4.4,2.3,,,,,,False
2021-10-02 02:05:00-07:00,,4.4,2.4,,,,,,False
2021-10-02 02:06:00-07:00,,4.5,2.0,,,,,,False
2021-10-02 02:07:00-07:00,,4.5,1.8,,,,,,False
2021-10-02 02:08:00-07:00,,4.5,1.7,,,,,,False
