,aoi,Tamb,Wind,POA,i_mp,v_mp,p_mp,Power,anomaly
2021-01-27 00:00:00-07:00,,-8.4,1.7,,,,,,False
2021-01-27 00:01:00-07:00,,-8.4,1.4,,,,,,False
2021-01-27 00:02:00-07:00,,-8.4,1.1,,,,,,False
2021-01-27 00:03:00-07:00,,-8.4,1.4,,,,,,False
2021-01-27 00:04:00-07:00,,-8.4,1.4,,,,,,False
2021-01-27 00:05:00-07:00,,-8.4,1.6,,,,,,False
2021-01-27 00:06:00-07:00,,-8.4,1.6,,,,,,False
2021-01-27 00:07:00-07:00,,-8.4,1.7,,,,,,False
2021-01-27 00:08:00-07:00,,-8.4,1.5,,,,,,False
2021-01-27 00:09:00-07:00,,-8.4,1.4,,,,,,False
2021-01-27 00:10:00-07:00,,-8.4,1.6,,,,,,False
2021-01-27 00:11:00-07:00,,-8.3,1.7,,,,,,False
2021-01-27 00:12:00-07:00,,-8.3,2.3,,,,,,False
2021-01-27 00:13:00-07:00,,-8.3,2.3,,,,,,False
2021-01-27 00:14:00-07:00,,-8.4,2.4,,,,,,False
2021-01-27 00:15:00-07:00,,-8.5,2.1,,,,,,False
2021-01-27 00:16:00-07:00,,-8.5,2.2,,,,,,False
2021-01-27 00:17:00-07:00,,-8.5,2.3,,,,,,False
2021-01-27 00:18:00-07:00,,-8.5,1.8,,,,,,False
2021-01-27 00:19:00-07:00,,-8.5,1.7,,,,,,False
2021-01-27 00:20:00-07:00,,-8.5,1.3,,,,,,False
2021-01-27 00:21:00-07:00,,-8.5,2.3,,,,,,False
2021-01-27 00:22:00-07:00,,-8.5,2.1,,,,,,False
2021-01-27 00:23:00-07:00,,-8.6,2.0,,,,,,False
2021-01-27 00:24:00-07:00,,-8.6,2.5,,,,,,False
2021-01-27 00:25:00-07:00,,-8.6,2.5,,,,,,False
2021-01-27 00:26:00-07:00,,-8.6,3.2,,,,,,False
2021-01-27 00:27:00-07:00,,-8.7,3.9,,,,,,False
2021-01-27 00:28:00-07:00,,-8.7,3.4,,,,,,False
2021-01-27 00:29:00-07:00,,-8.8,3.4,,,,,,False
