,aoi,Tamb,Wind,POA,i_mp,v_mp,p_mp,Power,anomaly
2021-04-30 00:00:00-07:00,,9.9,4.0,,,,,,False
2021-04-30 00:01:00-07:00,,9.8,3.8,,,,,,False
2021-04-30 00:02:00-07:00,,9.8,3.6,,,,,,False
2021-04-30 00:03:00-07:00,,10.0,3.4,,,,,,False
2021-04-30 00:04:00-07:00,,9.9,3.6,,,,,,False
2021-04-30 00:05:00-07:00,,9.8,3.8,,,,,,False
2021-04-30 00:06:00-07:00,,9.9,4.0,,,,,,False
2021-04-30 00:07:00-07:00,,9.9,4.9,,,,,,False
2021-04-30 00:08:00-07:00,,9.7,4.9,,,,,,False
2021-04-30 00:09:00-07:00,,9.6,4.6,,,,,,False
2021-04-30 00:10:00-07:00,,9.6,4.6,,,,,,False
2021-04-30 00:11:00-07:00,,9.5,3.9,,,,,,False
2021-04-30 00:12:00-07:00,,9.2,3.9,,,,,,False
2021-04-30 00:13:00-07:00,,8.9,4.1,,,,,,False
2021-04-30 00:14:00-07:00,,8.7,4.0,,,,,,False
2021-04-30 00:15:00-07:00,,8.5,3.9,,,,,,False
2021-04-30 00:16:00-07:00,,8.5,4.3,,,,,,False
2021-04-30 00:17:00-07:00,,8.6,4.4,,,,,,False
2021-04-30 00:18:00-07:00,,8.9,5.3,,,,,,False
2021-04-30 00:19:00-07:00,,9.2,4.8,,,,,,False
2021-04-30 00:20:00-07:00,,9.3,4.1,,,,,,False
2021-04-30 00:21:00-07:00,,9.4,4.3,,,,,,False
2021-04-30 00:22:00-07:00,,9.5,4.5,,,,,,False
2021-04-30 00:23:00-07:00,,9.5,4.7,,,,,,False
2021-04-30 00:24:00-07:00,,9.7,4.9,,,,,,False
2021-04-30 00:25:00-07:00,,9.8,4.7,,,,,,False
2021-04-30 00:26:00-07:00,,9.8,4.7,,,,,,False
2021-04-30 00:27:00-07:00,,10.0,4.6,,,,,,False
2021-04-30 00:28:00-07:00,,10.0,4.8,,,,,,False
2021-04-30 00:29:00-07:00,,9.9,4.8,,,,,,False
2021-04-30 00:30:00-07:00,,9.8,4.9,,,,,,False
2021-04-30 00:31:00-07:00,,9.8,4.9,,,,,,False
2021-04-30 00:32:00-07:00,,9.9,4.7,,,,,,False
2021-04-30 00:33:00-07:00,,10.0,4.6,,,,,,False
2021-04-30 00:34:00-07:00,,10.2,4.3,,,,,,False
2021-04-30 00:35:00-07:00,,10.4,4.0,,,,,,False
2021-04-30 00:36:00-07:00,,10.4,3.8,,,,,,False
2021-04-30 00:37:00-07:00,,10.4,3.7,,,,,,False
2021-04-30 00:38:00-07:00,,10.5,3.8,,,,,,False
2021-04-30 00:39:00-07:00,,10.6,3.8,,,,,,False
2021-04-30 00:40:00-07:00,,10.6,3.7,,,,,,False
2021-04-30 00:41:00-07:00,,10.7,3.7,,,,,,False
2021-04-30 00:42:00-07:00,,10.8,3.7,,,,,,False
2021-04-30 00:43:00-07:00,,10.9,3.5,,,,,,False
2021-04-30 00:44:00-07:00,,10.9,3.4,,,,,,False
2021-04-30 00:45:00-07:00,,10.9,3.2,,,,,,False
2021-04-30 00:46:00-07:00,,10.8,3.1,,,,,,False
2021-04-30 00:47:00-07:00,,10.8,3.2,,,,,,False
2021-04-30 00:48:00-07:00,,10.9,3.6,,,,,,False
2021-04-30 00:49:00-07:00,,10.8,3.7,,,,,,False
2021-04-30 00:50:00-07:00,,10.6,4.7,,,,,,False
2021-04-30 00:51:00-07:00,,9.9,4.7,,,,,,False
2021-04-30 00:52:00-07:00,,10.1,4.4,,,,,,False
2021-04-30 00:53:00-07:00,,10.2,4.1,,,,,,False
2021-04-30 00:54:00-07:00,,10.3,4.0,,,,,,False
2021-04-30 00:55:00-07:00,,10.5,3.7,,,,,,False
2021-04-30 00:56:00-07:00,,10.7,3.3,,,,,,False
2021-04-30 00:57:00-07:00,,10.8,3.2,,,,,,False
2021-04-30 00:58:00-07:00,,10.8,3.4,,,,,,False
2021-04-30 00:59:00-07:00,,10.2,5.0,,,,,,False
2021-04-30 01:00:00-07:00,,10.0,4.5,,,,,,False
2021-04-30 01:01:00-07:00,,10.2,4.2,,,,,,False
2021-04-30 01:02:00-07:00,,10.3,4.2,,,,,,False
2021-04-30 01:03:00-07:00,,10.4,4.1,,,,,,False
2021-04-30 01:04:00-07:00,,10.5,4.2,,,,,,False
2021-04-30 01:05:00-07:00,,10.3,5.0,,,,,,False
2021-04-30 01:06:00-07:00,,10.1,4.6,,,,,,False
2021-04-30 01:07:00-07:00,,9.7,4.7,,,,,,False
2021-04-30 01:08:00-07:00,,9.7,4.5,,,,,,False
2021-04-30 01:09:00-07:00,,10.1,4.1,,,,,,False
2021-04-30 01:10:00-07:00,,10.5,4.1,,,,,,False
2021-04-30 01:11:00-07:00,,10.4,4.2,,,,,,False
2021-04-30 01:12:00-07:00,,10.3,4.8,,,,,,False
2021-04-30 01:13:00-07:00,,9.9,5.1,,,,,,False
2021-04-30 01:14:00-07:00,,9.9,5.2,,,,,,False
2021-04-30 01:15:00-07:00,,9.7,4.9,,,,,,False
2021-04-30 01:16:00-07:00,,9.9,4.7,,,,,,False
2021-04-30 01:17:00-07:00,,10.2,4.6,,,,,,False
2021-04-30 01:18:00-07:00,,10.3,4.5,,,,,,False
2021-04-30 01:19:00-07:00,,10.6,4.5,,,,,,False
2021-04-30 01:20:00-07:00,,10.5,4.8,,,,,,False
2021-04-30 01:21:00-07:00,,10.5,4.4,,,,,,False
2021-04-30 01:22:00-07:00,,10.7,4.1,,,,,,False
2021-04-30 01:23:00-07:00,,10.8,4.4,,,,,,False
2021-04-30 01:24:00-07:00,,10.8,5.0,,,,,,False
2021-04-30 01:25:00-07:00,,10.7,5.1,,,,,,False
2021-04-30 01:26:00-07:00,,10.6,4.9,,,,,,False
2021-04-30 01:27:00-07:00,,10.3,5.0,,,,,,False
2021-04-30 01:28:00-07:00,,10.2,4.7,,,,,,False
2021-04-30 01:29:00-07:00,,10.4,4.5,,,,,,False
2021-04-30 01:30:00-07:00,,10.5,4.5,,,,,,False
2021-04-30 01:31:00-07:00,,10.6,4.5,,,,,,False
2021-04-30 01:32:00-07:00,,10.7,4.4,,,,,,False
2021-04-30 01:33:00-07:00,,10.5,5.0,,,,,,False
2021-04-30 01:34:00-07:00,,9.9,5.6,,,,,,False
2021-04-30 01:35:00-07:00,,9.5,5.5,,,,,,False
2021-04-30 01:36:00-07:00,,9.5,5.1,,,,,,False
2021-04-30 01:37:00-07:00,,9.3,5.0,,,,,,False
2021-04-30 01:38:00-07:00,,8.8,4.9,,,,,,False
2021-04-30 01:39:00-07:00,,8.7,4.7,,,,,,False
2021-04-30 01:40:00-07:00,,9.3,4.5,,,,,,False
2021-04-30 01:41:00-07:00,,9.9,4.4,,,,,,False
2021-04-30 01:42:00-07:00,,9.9,4.6,,,,,,False
2021-04-30 01:43:00-07:00,,9.7,4.6,,,,,,False
2021-04-30 01:44:00-07:00,,9.4,4.9,,,,,,False
2021-04-30 01:45:00-07:00,,9.0,5.1,,,,,,False
2021-04-30 01:46:00-07:00,,9.0,5.1,,,,,,False
2021-04-30 01:47:00-07:00,,9.5,4.9,,,,,,False
2021-04-30 01:48:00-07:00,,9.9,4.8,,,,,,False
2021-04-30 01:49:00-07:00,,10.2,5.0,,,,,,False
2021-04-30 01:50:00-07:00,,10.3,5.3,,,,,,False
2021-04-30 01:51:00-07:00,,10.2,5.2,,,,,,False
2021-04-30 01:52:00-07:00,,10.0,5.3,,,,,,False
2021-04-30 01:53:00-07:00,,9.4,5.4,,,,,,False
2021-04-30 01:54:00-07:00,,9.1,5.2,,,,,,False
2021-04-30 01:55:00-07:00,,9.3,5.3,,,,,,False
2021-04-30 01:56:00-07:00,,9.6,5.1,,,,,,False
